kum,nog,tat,lzg,agh,tab,rut,tkh,arc,lak,drgw,ava,khv,kar
29,29,31,42,45,44,41,49,60,47,47,47,52,56
31,33,32,41,43,46,41,50,58,46,47,45,53,50
30,33,30,41,45,44,41,50,61,46,47,46,51,56
32,31,31,41,51,43,40,47,59,47,46,46,49,53
29,30,30,40,49,43,42,50,58,45,49,47,51,54
31,29,30,41,48,45,42,47,60,47,47,48,52,56
32,31,30,40,49,47,40,48,57,48,49,47,51,57
30,29,29,41,41,49,40,49,58,47,45,44,51,54
30,29,30,43,47,43,43,43,61,45,49,48,51,57
30,29,30,42,49,47,39,51,56,48,43,46,47,58
31,33,29,42,49,43,42,53,56,45,43,47,50,56
31,29,30,40,50,44,40,47,59,47,46,50,48,57
32,33,32,43,48,45,44,48,58,48,46,48,55,57
30,30,30,40,47,45,43,49,59,46,48,48,54,54
31,28,31,43,46,46,43,49,59,48,47,47,52,55
33,30,31,43,45,45,39,47,57,45,48,47,52,57
30,29,29,41,47,44,43,45,57,46,46,46,50,52
30,28,30,40,44,46,43,46,57,44,50,47,50,55
30,30,30,44,47,45,42,48,58,44,48,46,54,56
29,29,29,41,49,46,42,49,58,46,47,46,52,56
31,29,29,41,49,45,44,48,57,46,48,47,53,55
31,32,30,42,47,48,43,47,55,46,47,46,52,53
30,30,30,39,48,47,39,46,57,45,44,46,51,55
30,32,30,41,47,42,44,51,59,45,44,47,51,55
31,29,30,43,46,45,44,44,57,44,51,49,51,56
31,31,31,40,48,47,42,48,57,47,45,46,49,55
30,28,29,41,48,47,42,51,58,45,46,50,51,54
29,30,31,41,47,43,42,51,55,47,44,47,52,52
30,28,29,42,51,46,42,45,58,47,50,44,52,55
31,30,30,42,45,47,44,50,56,45,46,44,52,55
30,30,31,41,48,45,42,48,60,45,44,51,52,54
30,30,30,40,51,44,45,46,58,45,44,46,51,56
31,28,30,42,46,47,42,49,57,46,43,45,51,55
31,31,31,42,52,44,41,49,59,45,48,44,52,56
30,29,29,44,45,46,42,50,57,46,44,44,52,55
31,29,32,42,52,44,45,48,58,44,49,49,51,57
30,32,31,42,47,43,43,50,59,47,47,47,54,54
29,30,30,41,49,45,43,47,55,50,47,48,54,55
32,31,32,43,48,45,43,49,57,49,48,50,51,53
32,30,31,41,48,44,41,50,60,46,46,48,51,57
31,29,30,42,49,45,41,47,56,45,42,47,49,58
31,31,30,41,47,44,40,47,60,47,50,44,50,56
30,28,31,41,47,45,44,45,61,48,47,47,51,58
30,29,30,39,50,45,40,47,54,47,48,47,53,57
30,27,29,41,44,46,42,47,55,45,51,47,53,55
30,30,30,45,49,46,43,50,60,46,47,49,50,54
29,28,31,44,48,45,44,49,56,45,47,47,51,56
30,30,31,41,46,45,41,45,59,46,47,45,49,53
31,30,30,39,47,44,42,47,59,45,43,43,48,57
31,31,31,42,48,49,42,47,60,46,47,49,52,56
30,30,31,45,46,44,43,48,61,44,47,46,52,55
29,29,29,40,49,44,43,49,58,45,52,47,54,55
30,30,32,40,44,45,39,51,58,45,43,47,52,59
33,29,30,43,50,45,44,47,54,44,47,44,52,57
29,28,31,39,46,45,43,49,58,46,49,48,57,55
31,29,30,39,47,43,45,48,60,45,48,47,52,58
29,31,29,38,45,45,43,49,57,46,45,49,57,57
31,30,30,42,48,45,41,45,58,45,48,47,50,54
30,29,31,42,47,45,44,51,58,44,49,47,50,56
31,28,31,43,49,46,42,47,58,48,50,45,50,54
31,29,30,44,48,46,46,50,58,45,48,46,52,58
33,30,31,41,47,48,45,47,58,46,46,48,56,57
30,30,30,41,46,45,39,49,61,47,48,45,55,56
29,29,29,39,47,47,45,47,63,43,43,50,54,53
31,30,30,43,51,48,42,49,57,46,46,48,55,55
31,29,30,43,49,43,42,44,61,45,44,48,49,57
30,31,29,42,50,45,42,49,57,45,44,46,53,57
30,30,31,44,45,47,43,50,59,46,49,50,51,57
31,30,30,42,49,49,40,48,61,46,45,45,51,55
30,31,29,42,50,45,45,50,58,46,45,47,50,58
